player_role,prefix_name,prefix_desc,all_player_prob,all_player_bonus,top_player_prob,top_player_bonus
Support,Crimson,+19% when playing a Red Hero,0.2391559384730631,4.543962830988199,0.26285861468718824,4.994313679056576
Support,Sacrificial (Team),+20% when that player's hero is chosen first,0.21624434514920968,4.324886902984193,0.22088477530339126,4.417695506067825
Support,Balanced,+13% when playing a Universal Hero,0.31806019548918346,4.134782541359385,0.273958897045398,3.561465661590174
Support,Hirsute,+15% when playing a Bearded or Fuzzy Hero,0.218754369322131,3.281315539831965,0.21917380282374133,3.28760704235612
Support,Elemental,"+20% when playing an Aquatic, Fiery, or Icy Hero",0.160260107874726,3.20520215749452,0.1635138700386646,3.270277400773292
Support,Brawny,+13% when playing a Strength Hero,0.19436755709529663,2.5267782422388563,0.21824079061810323,2.837130278035342
Support,Sacrificial (Overall),+20% when that player's hero is chosen first,0.10653127573423532,2.1306255146847066,0.10356117474957247,2.0712234949914494
Support,Cerulean,+20% when playing a Blue Hero,0.11815923441258404,2.363184688251681,0.09805974272282092,1.9611948544564184
Support,Virtuoso,+18% when playing a hero they are a Master or Grandmaster with,0.06724058548045728,1.210330538648231,0.08061900555804491,1.4511421000448084
Support,Clutch,+17% when playing the last possible match of a series,0.08340867015597787,1.417947392651624,0.08493440594483762,1.4438849010622394
Support,Coveted (Team),+10% when that player's hero is chosen last,0.062165375811605195,0.621653758116052,0.04276963574652981,0.4276963574652981
Support,Glamorous,+22% when the player has an Arcana equipped,0.016427847715037996,0.3614126497308359,0.010385631969184475,0.22848390332205845
Support,Dashing,+13% when playing an Agility Hero,0.03268240661567065,0.4248712860037185,0.013958349084329424,0.1814585380962825
Support,Coveted (Overall),+10% when that player's hero is chosen last,0.014072883187749064,0.14072883187749063,0.00603845099803955,0.060384509980395504
