player_id,player_role,emblem_colour,emblem_stat,average,stddev
153836240,Mid,Green,Tormentor Kills,612.9810336844489,685.4212849435756
153836240,Mid,Red,Creep Score,862.4025986595465,307.68059488521556
153836240,Mid,Red,Deaths,1180.9723244576167,766.9943297966104
153836240,Mid,Red,GPM,1045.3039929351899,216.87425824760362
153836240,Mid,Red,Kills,691.1463888825765,412.60020191956437
153836240,Mid,Red,Neutral Tokens Found,1227.853013872557,916.7948718403997
153836240,Mid,Red,Tower Kills,230.27913464998218,339.82242293805473
154715080,Mid,Blue,Camps Stacked,421.39933090781386,374.96086350158293
154715080,Mid,Blue,Lotuses Grabbed,561.4136362171214,701.9162594946117
154715080,Mid,Blue,Runes Grabbed,1198.3321334170798,547.7083136099321
154715080,Mid,Blue,Smokes Used,64.41578427352107,168.96642677207112
154715080,Mid,Blue,Wards Placed,287.6965960512515,129.89047424687104
154715080,Mid,Blue,Watchers Taken,910.3301545921518,825.4372998021806
154715080,Mid,Green,Courier Kills,120.86838720502982,414.04168711227595
154715080,Mid,Green,First Blood,228.4544140861136,643.6300430824277
154715080,Mid,Green,Roshan Kills,214.81131673433566,485.1115386119336
154715080,Mid,Green,Stuns,687.6438594678772,925.9301021317149
154715080,Mid,Green,Teamfight Participation,1243.2119877395803,216.84047852498236
154715080,Mid,Green,Tormentor Kills,407.26885791254995,642.5624571685399
154715080,Mid,Red,Creep Score,1075.0450129797396,433.3961758236634
154715080,Mid,Red,Deaths,1782.2283545932164,569.7232798169968
154715080,Mid,Red,GPM,1190.1381637085074,217.64809223877336
154715080,Mid,Red,Kills,963.750122567628,496.83477816210956
154715080,Mid,Red,Neutral Tokens Found,1511.6355722421558,889.575791207561
154715080,Mid,Red,Tower Kills,220.912636258774,264.11118429340587
155332459,Support,Blue,Camps Stacked,1274.6250727423117,1066.057775919103
155332459,Support,Blue,Lotuses Grabbed,482.3842997014958,547.3285998353057
155332459,Support,Blue,Runes Grabbed,570.0005802363404,301.2949121219942
155332459,Support,Blue,Smokes Used,1113.7054957289824,704.6942488226326
155332459,Support,Blue,Wards Placed,886.9205436089532,299.29002377558527
155332459,Support,Blue,Watchers Taken,616.63513927837,470.5547806653559
155332459,Support,Green,Courier Kills,374.93822491106107,577.7094612675662
155332459,Support,Green,First Blood,151.23216717859077,534.8541823045813
155332459,Support,Green,Roshan Kills,31.176834295095166,165.5160078304136
155332459,Support,Green,Stuns,806.2819758001901,638.2736650343621
155332459,Support,Green,Teamfight Participation,1277.958270666045,239.4783386851023
155332459,Support,Green,Tormentor Kills,472.73130847900256,777.4990989620252
155332459,Support,Red,Creep Score,241.5193363801435,175.63948243046227
155332459,Support,Red,Deaths,937.4571186649307,816.9769098170648
155332459,Support,Red,GPM,664.968409907403,149.89849857766248
155332459,Support,Red,Kills,354.0945961865261,295.3111150988973
155332459,Support,Red,Neutral Tokens Found,235.89152407929512,389.27026039062986
155332459,Support,Red,Tower Kills,49.58165830293892,145.34822876450627
158847773,Support,Blue,Camps Stacked,361.1322341476436,434.5376826387899
158847773,Support,Blue,Lotuses Grabbed,911.123979483497,863.5091780845305
158847773,Support,Blue,Runes Grabbed,645.6153671506834,305.77262159824403
158847773,Support,Blue,Smokes Used,1298.5119848761485,808.2115540279641
158847773,Support,Blue,Wards Placed,1816.4935163585849,529.7923474908285
158847773,Support,Blue,Watchers Taken,1452.9994598588005,640.2706371716231
158847773,Support,Green,Courier Kills,402.3348897926132,503.8379573605891
158847773,Support,Green,First Blood,395.5014134450958,807.4979555489676
158847773,Support,Green,Roshan Kills,56.32968123982188,219.66636256803724
158847773,Support,Green,Stuns,597.4312272395746,492.6912997271657
158847773,Support,Green,Teamfight Participation,1279.7149545000977,184.75453768666108
158847773,Support,Green,Tormentor Kills,359.713372119447,547.5363983641433
158847773,Support,Red,Creep Score,194.08100385132335,111.54250920977125
158847773,Support,Red,Deaths,682.3252938850582,784.5771488615505
158847773,Support,Red,GPM,668.0856976904914,109.40186983054953
